FID,local_authority,site_name,site_code,address,datazone,development_potential,east,north,owner_1,owner_2,period,previous_use,site_size,site_type,la_s_code,sh_src,sh_date_uploaded,sh_src_id
pub_vdl.901,Fife,DERELICT LAND,EF013,OPPOSTITE CRAIL AIRFIELD CRAIL,S01009713,Unknown (uncertain/insufficient information),362311,709296,Ownership unknown,Not applicable (i.e. only one owner),2006,Agriculture,0.62,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2606
pub_vdl.1044,Glasgow City,,1536,AUCHINLOCH ST/ PETERSHILL ROAD.,S01010225,Developable - Undetermined,260796,667034,Other Private,Not applicable (i.e. only one owner),1981-1985,Unknown,0.17,Vacant Land,S12000049,05df8fc4-004a-4125-8629-0ae5c553022b,2025-12-03,256
pub_vdl.887,Fife,FISHER CAMPUS 1,DC046,ROSYTH EUROPARC ROSYTH,S01009377,Developable - Short Term,310549,682503,Other Private,Private Port Company,2001-2004,Defence,1.16,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2608
pub_vdl.888,Fife,FORTIES COMMERCIAL CAMPUS 2,DC047,ROSYTH EUROPARC ROSYTH,S01009377,Developable - Short Term,311079,682143,Other Private,Not applicable (i.e. only one owner),2001-2004,Defence,0.99,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2604
pub_vdl.895,Fife,HILLEND INDUSTRIAL PARK,DC072,RIDGE WAY DALGETY BAY,S01009403,Developable - Undetermined,315658,684180,Ownership unknown,Not applicable (i.e. only one owner),1996-2000,Unknown,0.35,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2644
pub_vdl.889,Fife,FORTIES COMMERCIAL CAMPUS 1,DC048,ROSYTH EUROPARC ROSYTH,S01009377,Developable - Short Term,310659,682412,Other Private,Not applicable (i.e. only one owner),2001-2004,Defence,4.42,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2618
pub_vdl.890,Fife,FLEMING BUILDING,DC062,BEECH WAY HILLEND INDUSTRIAL ESTATE DALGETY BAY,S01009403,Developable - Short Term,315440,684111,Ownership unknown,Ownership unknown,2001-2004,Wholesale Distribution,0.95,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2476
pub_vdl.896,Fife,DENBEATH PARISH CHURCH,DEN161,BANCRAIG STREET LEVENMOUTH,S01009619,Developable - Short Term,336152,698771,Other Private,Not applicable (i.e. only one owner),2001-2004,Other,0.16,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2541
pub_vdl.1082,Glasgow City,,1560,REAR OF 42-78 GARDENSIDE CRESCENT.,S01010071,Developable - Undetermined,264682,661526,Local Authority,Not applicable (i.e. only one owner),1981-1985,Agriculture,0.78,Vacant Land,S12000049,05df8fc4-004a-4125-8629-0ae5c553022b,2025-12-03,257
pub_vdl.892,Fife,CALDWELLS,DC069,INVERKEITHING,S01009383,Unknown (uncertain/insufficient information),312987,682462,Ownership unknown,Not applicable (i.e. only one owner),2001-2004,Manufacturing,7.45,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2582
pub_vdl.897,Fife,ST MARGARETS WORKS,DUN001,PILMUIR STREET DUNFERMLINE,S01009301,Developable - Undetermined,309083,687910,Other Private,Not applicable (i.e. only one owner),1991-1995,Manufacturing,0.7,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2544
pub_vdl.898,Fife,CAR PARK,EF002,WOODBURN PLACE ST ANDREWS,S01009717,Unknown (uncertain/insufficient information),351658,716252,Ownership unknown,Not applicable (i.e. only one owner),2006,Transport,0.1,Derelict,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2611
pub_vdl.899,Fife,RANKIN COURT,EF009,RANKIN COURT WORMIT,S01009752,Developable - Medium Term,340620,726997,Ownership unknown,Not applicable (i.e. only one owner),2006,Unknown,0.19,Vacant Land,S12000047,e998e5f9-b4af-42cd-8816-217d383535a5,2025-11-30,2549
